social_energy,talkativeness,party_liking,leadership,empathy,emotional_stability,curiosity,risk_taking,stress_handling,adventurousness,travel_desire,work_style_collaborative,decision_speed,sports_interest,reading_habit,personality_type_Extrovert,personality_type_Introvert
0.52060927,1.285997721,1.262660721,1.137695,-0.03458791,-0.735705956,-0.642156157,0.855174283,0.801805884,1.463002534,-0.358437504,0.958655232,1.294207108,2.333466837,-0.308742315,TRUE,FALSE
0.352363952,0.604343993,-0.633986884,0.0896392,-1.645113921,-0.960504837,-0.216065156,-0.061388664,-1.716717178,0.569889256,-0.405411875,-0.323519742,-1.212411081,-0.081890729,-0.086430541,FALSE,FALSE
0.79005836,-0.644582961,0.858244263,-1.377879817,-0.231658142,-0.244262162,-0.210747677,-0.318785589,-0.224454696,1.908540878,0.326201263,-0.367504195,-0.486143711,-1.210837347,-0.318024479,FALSE,FALSE
0.263498515,0.198210967,1.764792754,1.83617292,1.606950424,0.407539408,-0.66602198,1.454187293,-0.075081916,1.568598102,0.445707175,0.089851224,0.557586917,1.494785391,-0.289367011,TRUE,FALSE
0.024011611,-0.648212051,-1.664393188,-0.723248353,0.178267249,-0.491322871,-0.886279384,-1.164320836,-1.492259331,-0.847142485,0.013147482,-0.354027047,0.152726193,-1.635416984,0.515664186,FALSE,TRUE
-1.094614266,-1.107689552,-1.685623798,-1.404192875,-0.706289181,-0.157290875,-0.078317286,-0.013024135,-0.953519837,-1.436629585,-0.431826385,-1.827378985,-1.410012958,-0.349393068,1.496069157,FALSE,TRUE
-1.608984873,-0.494902056,-1.422237714,-1.504638926,-0.380545398,0.627487449,-0.222998836,-1.341667535,0.522907944,-0.844207809,-1.43014382,-0.426714624,-1.175739027,-1.667172268,1.620188215,FALSE,TRUE
0.456738363,0.64533448,-0.696819991,-0.037958507,-0.514846658,-0.677847834,-0.148329567,1.239445927,0.848663839,1.165532165,0.766702959,-0.963677923,-0.21012732,-0.242524229,-0.063424066,FALSE,FALSE
0.737757654,-0.121206353,1.447031473,-1.385899287,0.376865997,-0.704527053,1.501272842,0.472325737,-0.132238638,0.890943187,1.037617063,1.48081173,1.322203807,2.146214262,0.018088796,TRUE,FALSE
-0.053391412,-0.515087097,0.368095301,-1.853324902,-0.574415579,-0.60970705,0.775650023,-0.272407346,0.420964782,0.217581188,0.384120067,-0.425153221,-0.739004528,-1.637767426,0.004471103,FALSE,FALSE
-1.262164106,-1.090727763,-0.944386354,-0.489266091,1.53881009,-0.800952161,-1.559875064,-0.505107986,0.237146858,-0.913852519,-0.642528834,-0.985330504,0.358783452,-0.43265579,1.008569402,FALSE,TRUE
-0.500026125,-0.627634838,-0.184196426,0.22277353,-0.394945384,-0.858064288,-1.025123011,0.69946665,0.51753387,0.111679377,0.691538156,-0.999456955,0.447373218,-0.563294071,-0.241341137,FALSE,FALSE
0.436224954,-0.295586299,0.131005214,-0.383527368,0.211591221,-2.130738976,-0.130964417,0.851357397,-0.562653774,0.64089238,0.880040825,-0.234576303,0.160533568,0.058112031,0.32932415,FALSE,FALSE
-1.190473681,-1.786202873,-1.264140017,0.38378433,-0.665144134,-0.144275085,0.436719825,-1.701439643,-1.870203756,-0.963184988,-1.190424917,-1.528058421,-1.125847578,-0.354366356,0.471313169,FALSE,TRUE
-1.889501624,-1.279709926,-1.30415419,-0.755158945,1.258907138,0.656416595,-0.95895343,-1.346909415,-0.047383387,0.484977714,-0.066611889,-2.371563209,-0.3494985,0.496448317,0.746994017,FALSE,TRUE
-0.68163819,-1.59770573,-1.171240535,-0.283739411,0.559148343,-0.842999035,1.258594228,-0.471039836,-2.194109861,0.48488165,0.098764036,-2.22424235,-1.356799871,-1.261130087,-0.02328175,FALSE,TRUE
-1.749088757,-0.807501728,-0.987576436,-0.032596465,2.29125186,-0.315527227,-0.322969412,-1.279132925,0.334448187,-2.28463731,-0.920880982,-1.51319706,-0.869145372,-0.939335819,0.097413856,FALSE,TRUE
0.308256404,1.538489177,1.29069267,1.066221029,-0.372849747,-0.947999583,0.268690142,1.362889293,-1.035320407,0.637922866,0.827199401,-0.519077185,0.836890599,1.060584831,-0.250616182,TRUE,FALSE
1.733757853,1.240848988,0.49000829,1.83617292,-1.080855294,0.139036619,-0.17524068,1.106870595,-0.818022539,0.897115906,0.928193961,0.701424792,1.445192757,0.345187321,-1.272108784,TRUE,FALSE
-1.74347244,0.550921856,-1.17337063,-1.147010799,0.465979441,-0.643996524,0.007470736,0.093791401,0.009452722,0.316747907,-0.701847179,-0.896803217,-0.653792965,-0.642054842,1.834751295,FALSE,TRUE
-0.398570494,1.560461314,1.069650308,1.036559147,-0.927531472,0.827861953,-1.285708347,1.891282332,0.062995615,0.597743796,0.261044652,1.40930067,0.654166812,-0.390822072,-0.705796489,TRUE,FALSE
-0.638006999,-0.471847589,-1.113296876,-0.100252216,1.622494499,0.712796007,0.253361453,0.06049885,2.24817442,-0.621222712,-0.718861757,0.751410548,-1.335976103,-1.916421784,0.906156419,FALSE,TRUE
-1.201145514,-1.06477833,-1.793302336,0.014952782,-2.68362532,0.225273046,-0.788434364,-0.868072748,-0.43649491,-0.021106277,-0.726482908,0.575388344,-1.205896661,0.138028659,0.628743625,FALSE,TRUE
0.87679107,0.809406651,0.976237417,1.145971192,-0.066408697,0.803536537,-0.576232426,0.797881664,0.29546281,1.213122792,0.613770791,1.703368591,1.342497206,0.358720413,-1.131716346,TRUE,FALSE
0.817941564,1.761979362,0.828661956,0.602534004,0.007951362,0.238946912,0.615673422,0.849459757,2.517497949,0.404879184,2.229610879,1.851060856,0.470672136,1.593702559,-0.763237166,TRUE,FALSE
0.137054893,-0.162985997,-0.470259113,-0.510997267,-0.831855622,1.259116598,-0.611237547,-0.77685862,-1.069067284,0.787333448,0.268128179,-0.645737596,-0.511157806,-1.459592823,0.227658308,FALSE,FALSE
